Track Name,Album Name,Artist Name(s),Release Date,Genres
Dekho Maine Dekha Hai Ek Sapna,Love Story,"Lata Mangeshkar,Amit Kumar,R. D. Burman",2/27/1981,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Tune O Rangeele,Lata Surili Phuljhadi,Lata Mangeshkar,10/26/2021,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Maine Tere Liye,Mukesh Ki Barfi,Mukesh,10/26/2021,"ghazal,tamil dance"
Hum Dono Do Premi,Remembering Lata Mangeshkar,"Lata Mangeshkar,Kishore Kumar",2/18/2022,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Beqarar Karke Hamen Yun Na Jaiye,"Baarishein, Chai Aur Hemant Kumar",Hemant Kumar,7/12/2023,"bangla pop,ghazal,marathi pop"
Samne Ye Kaun Aya - From Jawani Diwani,Icon,"Kishore Kumar,R. D. Burman",5/4/2015,"bangla pop,ghazal,hindi pop,bollywood"
Chhoti Chhoti Raatein,Tum Bin,"Sonu Nigam,Anuradha Paudwal",5/2/2001,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,bhajan,devotional,ghazal"
Wada Kar Le Sajna,Haath Ki Safai,"Lata Mangeshkar,Mohammed Rafi,Kalyanji-Anandji",8/30/1974,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Chand Se Parda,Aao Pyar Karen,Kumar Sanu,11/25/1994,"bollywood,hindi pop"
Kya Yahi Pyar Hai - From Rocky,Audiobiography,"Lata Mangeshkar,Kishore Kumar,R. D. Burman",1/1/2013,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Kitne Bhi Tu Karle Sitam - From Sanam Teri Kasam,FM Hits - All Time Radio Hits,"Kishore Kumar,R. D. Burman",7/10/2014,"bangla pop,ghazal,hindi pop,bollywood"
Gaata Rahe Mera Dil,Remembering Lata Mangeshkar,"Lata Mangeshkar,Kishore Kumar",2/18/2022,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Sochenge Tumhe Pyar (From Deewana),"Bollywood Best Trio - Kumar Sanu, Nadeem - Shravan",Kumar Sanu,7/1/2016,"bollywood,hindi pop"
Teri Yaad Aa Rahi Hai - 1980,Love Story,"Lata Mangeshkar,Amit Kumar,R. D. Burman",2/27/1981,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Waada Raha Sanam (From Khiladi),Sensational Duets (Abhijeet & Alka Yagnik),Abhijeet,7/1/2016,"bollywood,hindi pop"
Tere Mere Milan Ki Yeh Raina,Remembering Lata Mangeshkar,"Lata Mangeshkar,Kishore Kumar",2/18/2022,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Karvaten Badalte Rahe,Aap Ki Kasam,"Kishore Kumar,Lata Mangeshkar,R. D. Burman",4/17/1974,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop"
O Mere Sona Re Sona,Teesri Manzil,"Asha Bhosle,Mohammed Rafi,R. D. Burman",1/1/1966,"ghazal,marathi pop,bangla pop,bollywood,hindi pop"
Gori Tera Gaon Bada Pyara,Common Man Superstar Amol Palekar,K. J. Yesudas,3/30/2023,"malayalam pop,devotional,mollywood,tamil pop"
Zeehale Muskin - From Ghulami,"The Legend Forever, Vol. 1","Lata Mangeshkar,Shabbir Kumar",1/1/2012,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bhojiwood"
Aawaz Do Humko - Happy,Dushman,"Udit Narayan,Lata Mangeshkar",5/29/1998,"bollywood,hindi pop,desi,ghazal,bhajan,marathi pop"
Ek Ladki Ko Dekha,1942 A Love Story,"Kumar Sanu,R. D. Burman",4/15/1994,"bollywood,hindi pop,ghazal,bangla pop"
Goom Hai Kisi Ke Pyar Mein,Raampur Ka Lakshman,"Kishore Kumar,Lata Mangeshkar,R. D. Burman",7/26/1972,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop"
Bahon Mein Chale Aao,Lata Surili Phuljhadi,Lata Mangeshkar,10/26/2021,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Mera Chand Mujhe Aaya Hai Nazar,Mr. Aashiq,Kumar Sanu,1/1/1999,"bollywood,hindi pop"
Commentry Tabassum And O Sathi Chal - Seeta Aur Geeta,Flash Back - Asha Bhosle With Tabassum,"Tabassum,Asha Bhosle,R. D. Burman",1/12/2011,"ghazal,marathi pop,bangla pop,bollywood,hindi pop"
Gore Rang Pe Itna Gumaan Na Kar - From Roti,Kishore Kumar Best Songs,"Kishore Kumar,Lata Mangeshkar",7/25/2024,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop"
Kitna Haseen Chehra (From Dilwale),"Bollywood Best Trio - Kumar Sanu, Nadeem - Shravan",Kumar Sanu,7/1/2016,"bollywood,hindi pop"
Bade Achhe Lagte Hain,Balika Badhu,"Amit Kumar,R. D. Burman",3/15/1976,"bollywood,ghazal,bangla pop,hindi pop"
Dil To Hai Dil,Muqaddar Ka Sikandar,"Lata Mangeshkar,Kalyanji-Anandji",10/27/1978,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Ek Sanam Chahiye Aashiqui Ke Liye (From Aashiqui),Dheere Dheere Se - The Era Of Kumar Sanu,Kumar Sanu,10/17/2018,"bollywood,hindi pop"
Dil Deewana,Maine Pyar Kiya,S. P. Balasubrahmanyam,12/29/1989,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood"
Wada Karo - From Aa Gale Lag Jaa,"The Golden Years, Vol. 1","Kishore Kumar,Lata Mangeshkar,R. D. Burman",1/1/2013,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop"
Tum Dil Ki Dhadkan Mein (From Dhadkan),Sensational Duets (Abhijeet & Alka Yagnik),Abhijeet,7/1/2016,"bollywood,hindi pop"
Jhilmil Sitaron Ka Angan Hoga,"Baarishein, Chai Aur Rafi","Lata Mangeshkar,Mohammed Rafi",7/12/2023,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Kaun Disha Mein Leke Chala,Nadiya Ke Paar,"Jaspal Singh,Hemlata",1/1/1982,"bhajan,bhojiwood,devotional,bhojpuri pop,ghazal"
Bahut Pyar Karte Hai - Male Version,Saajan (Original Motion Picture Soundtrack),S. P. Balasubrahmanyam,6/20/1993,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood"
Hai Apna Dil To Aawara (Happy),"Baarishein, Chai Aur Hemant Kumar",Hemant Kumar,7/12/2023,"bangla pop,ghazal,marathi pop"
Kitna Pyara Wada Hai,#HumForLataDidi,"Lata Mangeshkar,Mohammed Rafi",2/3/2023,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Tumse Milne Ki Tamanna Hai,Saajan (Original Motion Picture Soundtrack),S. P. Balasubrahmanyam,6/20/1993,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood"
Jeena Nahi,Tezaab,"Amit Kumar,Anuradha Paudwal",6/10/1988,"bollywood,bhajan,devotional,marathi pop,ghazal,hindi pop"
"O Jaana Na Jaana, Pt. 1",Jab Pyaar Kisise Hota Hai (Original Motion Picture Soundtrack),"Kumar Sanu,Lata Mangeshkar",5/22/1998,"bollywood,hindi pop,ghazal,bhajan,marathi pop"
Chup Gaye Sare Nazare,Do Raaste,"Lata Mangeshkar,Mohammed Rafi,Laxmikant–Pyarelal",12/5/1969,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
