Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4DHepDfmKXjA8T1pnUsLlg,Dekho Maine Dekha Hai Ek Sapna,Love Story,"Lata Mangeshkar,Amit Kumar,R. D. Burman",2/27/1981,339308,47,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:45:17Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.617,0.529,8,-6.799,1,0.0425,0.5,0.000644,0.0514,0.843,112.438,4
4mhKFYYMy6BOq45VRMmwuu,Tune O Rangeele,Lata Surili Phuljhadi,Lata Mangeshkar,10/26/2021,212666,39,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:45:45Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.659,0.368,4,-12.404,1,0.037,0.922,0.000285,0.152,0.765,117.232,4
40kqWQcqVR6GcjnWhoqHTg,Maine Tere Liye,Mukesh Ki Barfi,Mukesh,10/26/2021,186493,54,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:46:03Z,"ghazal,tamil dance",Saregama,0.596,0.66,3,-6.083,1,0.0309,0.85,0.000424,0.371,0.894,126.197,4
7fyNUqwla8VHtdk2a7lycW,Hum Dono Do Premi,Remembering Lata Mangeshkar,"Lata Mangeshkar,Kishore Kumar",2/18/2022,270733,43,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:46:25Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.35,0.557,6,-8.839,1,0.0357,0.984,0.068,0.0511,0.677,86.617,4
2Is7ElE0yrqns54eNSw4Jt,Beqarar Karke Hamen Yun Na Jaiye,"Baarishein, Chai Aur Hemant Kumar",Hemant Kumar,7/12/2023,189880,54,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:46:48Z,"bangla pop,ghazal,marathi pop",Saregama India Ltd,0.653,0.446,10,-11.823,0,0.0483,0.971,0.251,0.621,0.757,113.465,4
65Jc0dClAN7bfmhLJ9gJyU,Samne Ye Kaun Aya - From Jawani Diwani,Icon,"Kishore Kumar,R. D. Burman",5/4/2015,252986,36,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:46:58Z,"bangla pop,ghazal,hindi pop,bollywood",Universal Music India Pvt Ltd.,0.649,0.624,4,-4.382,1,0.0883,0.676,0,0.151,0.887,100.862,4
56R9dZ7QxWhcfre5hoiPZV,Chhoti Chhoti Raatein,Tum Bin,"Sonu Nigam,Anuradha Paudwal",5/2/2001,359546,53,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:47:16Z,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,bhajan,devotional,ghazal",T-Series,0.548,0.596,10,-11.22,0,0.111,0.115,0.00000393,0.344,0.758,178.706,4
3J8ueXZ1M2QsPznc4T9oSj,Wada Kar Le Sajna,Haath Ki Safai,"Lata Mangeshkar,Mohammed Rafi,Kalyanji-Anandji",8/30/1974,287504,43,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:47:28Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.352,0.607,9,-6.074,0,0.0326,0.796,0.000242,0.199,0.563,153.564,4
77E9kDXT7gJIkxUaTPu6Ub,Chand Se Parda,Aao Pyar Karen,Kumar Sanu,11/25/1994,379739,60,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:47:43Z,"bollywood,hindi pop",Shemaroo Entertainment Ltd.,0.577,0.909,7,-4.445,1,0.0465,0.396,0.00000592,0.0569,0.615,120.323,4
7Avl75LRSHu6J13bt67W2o,Kya Yahi Pyar Hai - From Rocky,Audiobiography,"Lata Mangeshkar,Kishore Kumar,R. D. Burman",1/1/2013,384493,49,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T12:47:55Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Universal Music India Pvt Ltd.,0.648,0.41,7,-9.564,0,0.0268,0.413,0,0.12,0.601,102.64,4
